ID;district;year;gva;age;rent;skill;academic;wage;pop;tax;car;spec;area;emp;den;dist;market;tech;hosp;recr;east;waste
180;Böblingen;2012;54,07;42,46;7,91;58,41;15,87;3434,01;594,36;803,7;606,56;37,75;618;221;357,61;6,55;54,6;69,9;3;38,9;west;1289,96
181;Esslingen;2012;41,25;42,75;7,92;58,33;15,23;2915,68;792,82;568,91;578,21;34,92;641;263;410,3;7,65;53,63;67,45;3,9;20,4;west;1814,87
182;Göppingen;2012;39,96;43,47;6,42;62;9,98;2612;385,82;487,11;587,74;37,92;642;115;179,13;15,96;11,22;84,95;5,4;25,5;west;1326,02
183;Ludwigsburg;2012;40,83;42,41;7,92;58;15,32;2994,87;752,38;592,02;566;32,93;687;248;360,99;8,49;42,52;75,07;3,4;23,1;west;1379,74
184;Rems-Murr-Kreis;2012;37,95;43,18;7,48;60,81;12,5;2621,54;476,41;521,34;570,93;34,03;858;192;223,78;27,54;8,13;67,48;3,2;21,5;west;742,15
185;Heilbronn, Stadtkreis;2012;26,89;42,43;6,82;54,13;10,85;2258,17;1176,72;820,28;510;18,04;100;103;1030;8,44;122,04;69,85;9,4;24,7;west;2753,73
186;Heilbronn;2012;56,52;42,2;6,65;64,57;9,73;3041,8;295,06;775,63;629,78;43,15;1100;159;144,55;10,02;14,43;58,1;4;51;west;3230,03
187;Hohenlohekreis;2012;45,38;42,13;5,94;64,93;7,14;2783,69;138,39;909,09;661,68;41,34;777;66;84,94;11,91;7,13;66,6;2,6;42,9;west;1259,01
188;Schwäbisch Hall;2012;41,88;42,03;5,55;64,16;7,96;2499,61;125,96;558,19;591,4;38,61;1484;104;70,08;14,87;4,71;61,89;3,7;39,8;west;589,46
189;Main-Tauber-Kreis;2012;38,56;44,02;5,33;67,39;7,23;2397,95;99,54;470,59;613,24;36,63;1304;74;56,75;14,08;4,03;54,04;8,9;52,2;west;224,25
190;Heidenheim;2012;45,69;43,74;5,83;63,98;10,67;2745,47;203,48;336,77;576,01;40,13;627;66;105,26;10,58;9,95;63,01;4,2;42,1;west;4111,79
191;Ostalbkreis;2012;51,12;42,5;5,92;66,07;10,39;2723,84;202,76;509,02;583,45;39,82;1512;160;105,82;16,56;6,39;60,04;3,3;37,9;west;1117,57
192;Baden-Baden, Stadtkreis;2012;21,68;47,03;6,98;57,47;13,29;2769,33;375,04;784,01;592,93;18,68;140;41;292,86;7,09;41,31;62,14;14,9;44,8;west;587,49
193;Karlsruhe, Stadtkreis;2012;22,16;41,82;8,09;47,2;23,55;2944,5;1706,64;926,22;445,88;15,72;173;226;1306,36;5,09;256,65;87,93;9,7;38,2;west;2489,82
194;Karlsruhe;2012;40,19;43,32;6,69;61,64;12,15;2622,11;393,67;491,37;579,23;32,45;1085;197;181,57;10,54;17,23;69,92;2,5;35,8;west;1282,49
195;Rastatt;2012;56,14;43,75;6,25;66,07;8,42;2922,39;301,15;562,3;603,29;44,2;739;112;151,56;11,68;12,98;58,46;2,5;32,4;west;1408,53
196;Heidelberg, Stadtkreis;2012;17,54;39,86;8,58;37,17;35,41;2834,91;1381,37;664,28;369,17;12,42;109;116;1064,22;5,98;177,96;85,98;20;17,5;west;478,89
197;Mannheim, Stadtkreis;2012;34,21;42,09;7,13;48,6;17,89;3138,5;2032,47;1362,76;471,79;25,44;145;230;1586,21;4,18;379,48;92,47;8,8;34,8;west;6464,84
198;Neckar-Odenwald-Kreis;2012;35,24;43,54;5,19;67,83;6,77;2330,54;125,95;311,15;586,51;35,24;1126;66;58,61;20,63;2,84;32,71;3,7;56,8;west;3118,56
199;Rhein-Neckar-Kreis;2012;25,77;43,43;6,95;58,7;15,42;2739,85;496,64;576,05;594,27;26,35;1062;222;209,04;9,79;21,35;76,18;2,8;32,6;west;732,49
200;Pforzheim, Stadtkreis;2012;36,39;42,88;5,99;57,06;9,13;2547,21;1188,01;902,63;465,41;26,4;98;74;755,1;4,49;168,17;86,85;10;22,5;west;1853,09
201;Calw;2012;34,9;43,1;5,78;66,04;8,32;2440,13;188,97;353,83;592,25;32,08;798;63;78,95;23,51;3,36;54,96;7,9;40,1;west;1638,64
202;Enzkreis;2012;47,59;43,26;6;67,17;9,96;2589,04;334,84;475,78;600,44;48,56;574;79;137,63;9,68;14,22;58,12;1,8;28,8;west;858,19
203;Freudenstadt;2012;44,41;42,78;5,73;65,67;7,22;2542,09;132,15;457,59;579,97;41,18;871;62;71,18;28,46;2,5;52,11;4,2;42;west;999
204;Freiburg im Breisgau, Stadtkreis;2012;17,85;39,73;9,72;45,9;26,44;2543,18;1424,56;676,45;392,54;10,81;153;163;1065,36;6,18;172,39;78,86;11;27,1;west;418,36
205;Breisgau-Hochschwarzwald;2012;33,07;43,23;7,02;63,73;10,79;2290,84;179,72;366,34;556,66;29,72;1378;111;80,55;19,1;4,22;38,59;4,5;36,8;west;1339,46
